time,power
2024-11-23 17:18:26.291434,278
2024-11-23 17:18:31.421915,266
2024-11-23 17:18:36.439660,244
2024-11-23 17:18:41.538001,244
2024-11-23 17:18:46.568611,250
2024-11-23 17:18:51.649171,231
2024-11-23 17:18:56.702729,229
2024-11-23 17:19:01.274802,229
2024-11-23 17:19:06.328423,226
2024-11-23 17:19:11.364101,233
2024-11-23 17:19:16.473720,239
2024-11-23 17:19:21.545239,235
2024-11-23 17:19:26.567825,243
2024-11-23 17:19:31.671335,224
2024-11-23 17:19:36.252409,227
2024-11-23 17:19:41.368853,205
2024-11-23 17:19:46.463459,237
2024-11-23 17:19:51.513662,213
2024-11-23 17:19:56.555676,209
2024-11-23 17:20:01.641202,210
2024-11-23 17:20:06.652803,227
2024-11-23 17:20:11.728323,226
2024-11-23 17:20:16.324372,236
2024-11-23 17:20:21.345996,235
2024-11-23 17:20:26.408648,233
2024-11-23 17:20:31.486109,227
2024-11-23 17:20:36.512703,227
2024-11-23 17:20:41.607296,204
2024-11-23 17:20:46.626838,196
2024-11-23 17:20:51.779316,197
2024-11-23 17:20:56.297456,196
2024-11-23 17:21:01.320084,195
2024-11-23 17:21:06.460587,214
2024-11-23 17:21:11.574051,214
2024-11-23 17:21:16.626632,215
2024-11-23 17:21:21.676258,201
2024-11-23 17:21:26.264299,197
2024-11-23 17:21:31.311360,227
2024-11-23 17:21:34.244682,206
2024-11-23 17:21:41.442022,195
2024-11-23 17:21:46.495595,196
2024-11-23 17:21:51.534173,193
2024-11-23 17:21:56.627706,192
2024-11-23 17:22:01.726244,195
2024-11-23 17:22:06.316309,192
2024-11-23 17:22:11.363868,194
2024-11-23 17:22:16.454471,196
2024-11-23 17:22:21.541965,194
2024-11-23 17:22:26.643565,241
2024-11-23 17:22:31.714133,241
2024-11-23 17:22:36.735757,227
2024-11-23 17:22:42.317686,240
2024-11-23 17:22:46.388279,220
2024-11-23 17:22:51.456862,219
2024-11-23 17:22:56.515396,219
2024-11-23 17:23:01.612951,193
2024-11-23 17:23:06.660507,193
2024-11-23 17:23:11.697068,195
2024-11-23 17:23:16.243213,194
2024-11-23 17:23:21.274839,193
2024-11-23 17:23:26.291426,193
2024-11-23 17:23:31.409936,199
2024-11-23 17:23:36.462539,193
2024-11-23 17:23:41.582120,195
2024-11-23 17:23:46.711063,199
